iter	Passed	Remaining
0	1	138
1	2	132
2	3	126
3	4	116
4	6	115
5	7	116
6	8	115
7	9	113
8	11	112
9	12	110
10	13	108
11	14	107
12	15	105
13	17	104
14	18	103
15	19	101
16	20	100
17	21	99
18	22	97
19	24	96
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	30	88
26	32	87
27	33	85
28	34	84
29	35	83
30	37	82
31	38	81
32	39	80
33	40	78
34	41	77
35	42	76
36	44	75
37	45	73
38	46	72
39	47	71
40	49	70
41	49	68
42	50	67
43	52	66
44	53	65
45	54	63
46	55	62
47	56	61
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	64	54
54	64	53
55	66	51
56	67	50
57	68	49
58	69	48
59	70	47
60	72	46
61	73	44
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	98	20
83	99	18
84	100	17
85	101	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	117	1
99	118	0
