iter	Passed	Remaining
0	170	170652
1	175	87360
2	180	60034
3	185	46195
4	189	37763
5	197	32662
6	201	28596
7	205	25543
8	209	23029
9	211	20939
10	214	19277
11	217	17891
12	221	16781
13	223	15735
14	225	14827
15	227	14002
16	229	13249
17	230	12577
18	231	11975
19	234	11475
20	235	10991
21	237	10545
22	238	10140
23	241	9819
24	243	9479
25	244	9160
26	246	8866
27	249	8649
28	250	8397
29	252	8158
30	253	7939
31	255	7729
32	256	7528
33	258	7338
34	259	7158
35	261	7010
36	264	6873
37	265	6724
38	267	6581
39	268	6443
40	269	6311
41	271	6186
42	272	6066
43	273	5952
44	277	5885
45	279	5786
46	280	5684
47	281	5587
48	283	5494
49	284	5405
50	285	5319
51	287	5235
52	288	5160
53	291	5098
54	292	5024
55	293	4952
56	295	4884
57	296	4817
58	297	4752
59	299	4688
60	300	4627
61	301	4567
62	304	4529
63	306	4478
64	307	4424
65	308	4372
66	310	4321
67	311	4271
68	313	4225
69	314	4178
70	315	4133
71	317	4088
72	320	4066
73	321	4025
74	323	3984
75	324	3948
76	326	3909
77	327	3872
78	329	3836
79	330	3801
80	332	3767
81	334	3749
82	335	3709
83	337	3677
84	338	3644
85	340	3616
86	341	3588
87	343	3559
88	344	3529
89	346	3499
90	348	3485
91	350	3457
92	351	3431
93	353	3405
94	354	3379
95	356	3353
96	357	3327
97	358	3301
98	360	3276
99	361	3252
100	363	3238
101	365	3216
102	366	3196
103	368	3175
104	369	3153
105	371	3132
106	372	3111
107	374	3091
108	375	3071
109	380	3077
110	382	3062
111	384	3045
112	386	3032
113	388	3021
114	390	3008
115	396	3021
116	398	3007
117	400	2990
118	401	2972
119	402	2954
120	404	2939
121	405	2920
122	409	2919
123	410	2903
124	412	2888
125	414	2872
126	415	2854
127	416	2840
128	418	2824
129	419	2809
130	421	2795
131	424	2789
132	425	2774
133	427	2759
134	428	2746
135	431	2741
136	433	2729
137	434	2715
138	436	2704
139	439	2698
140	440	2684
141	441	2668
142	443	2655
143	445	2646
144	447	2638
145	449	2632
146	453	2633
147	455	2624
148	457	2612
149	458	2600
150	460	2588
151	461	2576
152	463	2563
153	464	2550
154	467	2546
155	469	2537
156	470	2525
157	471	2513
158	473	2503
159	474	2492
160	475	2478
161	476	2467
162	478	2455
163	479	2444
164	482	2442
165	484	2432
166	485	2421
167	486	2411
168	488	2400
169	489	2390
170	490	2380
171	492	2370
172	493	2361
173	496	2358
174	498	2349
175	499	2340
176	501	2331
177	502	2322
178	504	2312
179	505	2303
180	506	2293
181	508	2284
182	511	2283
183	513	2275
184	514	2267
185	516	2259
186	517	2250
187	519	2241
188	520	2233
189	522	2225
190	523	2218
191	525	2212
192	527	2204
193	528	2196
194	530	2188
195	531	2180
196	533	2173
197	534	2165
198	536	2157
199	537	2149
200	540	2148
201	541	2140
202	543	2133
203	544	2125
204	546	2117
205	547	2109
206	548	2102
207	550	2095
208	551	2088
209	554	2086
210	556	2079
211	557	2073
212	560	2069
213	561	2062
214	562	2055
215	564	2049
216	566	2042
217	567	2037
218	570	2032
219	571	2026
220	573	2020
221	574	2013
222	575	2006
223	577	1999
224	578	1994
225	581	1990
226	584	1991
227	586	1984
228	587	1978
229	589	1972
230	590	1965
231	592	1962
232	594	1956
233	597	1954
234	600	1955
235	602	1950
236	604	1944
237	605	1939
238	607	1933
239	608	1928
240	610	1921
241	614	1925
242	617	1923
243	619	1917
244	620	1911
245	621	1906
246	623	1900
247	624	1894
248	627	1893
249	630	1892
250	632	1886
251	633	1880
252	634	1874
253	636	1870
254	638	1865
255	640	1860
256	642	1858
257	644	1854
258	646	1848
259	647	1843
260	649	1838
261	650	1832
262	652	1827
263	653	1822
264	655	1819
265	657	1815
266	659	1809
267	660	1804
268	661	1798
269	663	1794
270	664	1788
271	666	1783
272	667	1778
273	669	1772
274	671	1770
